ip,timestamp,method,endpoint,status,bytes
199.72.81.55,1995-07-01 04:00:01,GET,/history/apollo/,200,6245
unicomp6.unicomp.net,1995-07-01 04:00:06,GET,/shuttle/countdown/,200,3985
199.120.110.21,1995-07-01 04:00:09,GET,/shuttle/missions/sts-73/mission-sts-73.html,200,4085
burger.letters.com,1995-07-01 04:00:11,GET,/shuttle/countdown/liftoff.html,304,0
199.120.110.21,1995-07-01 04:00:11,GET,/shuttle/missions/sts-73/sts-73-patch-small.gif,200,4179
burger.letters.com,1995-07-01 04:00:12,GET,/images/NASA-logosmall.gif,304,0
burger.letters.com,1995-07-01 04:00:12,GET,/shuttle/countdown/video/livevideo.gif,200,0
205.212.115.106,1995-07-01 04:00:12,GET,/shuttle/countdown/countdown.html,200,3985
d104.aa.net,1995-07-01 04:00:13,GET,/shuttle/countdown/,200,3985
129.94.144.152,1995-07-01 04:00:13,GET,/,200,7074
unicomp6.unicomp.net,1995-07-01 04:00:14,GET,/shuttle/countdown/count.gif,200,40310
unicomp6.unicomp.net,1995-07-01 04:00:14,GET,/images/NASA-logosmall.gif,200,786
unicomp6.unicomp.net,1995-07-01 04:00:14,GET,/images/KSC-logosmall.gif,200,1204
d104.aa.net,1995-07-01 04:00:15,GET,/shuttle/countdown/count.gif,200,40310
d104.aa.net,1995-07-01 04:00:15,GET,/images/NASA-logosmall.gif,200,786
d104.aa.net,1995-07-01 04:00:15,GET,/images/KSC-logosmall.gif,200,1204
129.94.144.152,1995-07-01 04:00:17,GET,/images/ksclogo-medium.gif,304,0
199.120.110.21,1995-07-01 04:00:17,GET,/images/launch-logo.gif,200,1713
ppptky391.asahi-net.or.jp,1995-07-01 04:00:18,GET,/facts/about_ksc.html,200,3977
net-1-141.eden.com,1995-07-01 04:00:19,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.jpg,200,34029
ppptky391.asahi-net.or.jp,1995-07-01 04:00:19,GET,/images/launchpalms-small.gif,200,11473
205.189.154.54,1995-07-01 04:00:24,GET,/shuttle/countdown/,200,3985
waters-gw.starway.net.au,1995-07-01 04:00:25,GET,/shuttle/missions/51-l/mission-51-l.html,200,6723
ppp-mia-30.shadow.net,1995-07-01 04:00:27,GET,/,200,7074
205.189.154.54,1995-07-01 04:00:29,GET,/shuttle/countdown/count.gif,200,40310
alyssa.prodigy.com,1995-07-01 04:00:33,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054
ppp-mia-30.shadow.net,1995-07-01 04:00:35,GET,/images/ksclogo-medium.gif,200,5866
dial22.lloyd.com,1995-07-01 04:00:37,GET,/shuttle/missions/sts-71/images/KSC-95EC-0613.jpg,200,61716
smyth-pc.moorecap.com,1995-07-01 04:00:38,GET,/history/apollo/apollo-13/images/70HC314.GIF,200,101267
205.189.154.54,1995-07-01 04:00:40,GET,/images/NASA-logosmall.gif,200,786
ix-orl2-01.ix.netcom.com,1995-07-01 04:00:41,GET,/shuttle/countdown/,200,3985
ppp-mia-30.shadow.net,1995-07-01 04:00:41,GET,/images/NASA-logosmall.gif,200,786
ppp-mia-30.shadow.net,1995-07-01 04:00:41,GET,/images/MOSAIC-logosmall.gif,200,363
205.189.154.54,1995-07-01 04:00:41,GET,/images/KSC-logosmall.gif,200,1204
ppp-mia-30.shadow.net,1995-07-01 04:00:41,GET,/images/USA-logosmall.gif,200,234
ppp-mia-30.shadow.net,1995-07-01 04:00:43,GET,/images/WORLD-logosmall.gif,200,669
